,model,RMSE_train,RMSE_test,AIC
1073,"(2, 0, 4),(3, 1, 5, 12)",27.18,79.35,2624.2550953758764
2784,"(4, 0, 3),(5, 1, 7, 12)",27.47,79.37,2640.4739702884
1165,"(2, 0, 5),(5, 1, 6, 12)",27.05,79.38,2632.520497220873
2585,"(3, 1, 7),(4, 1, 4, 12)",27.8,79.38,2623.2784590403053
2169,"(3, 0, 6),(5, 1, 6, 12)",27.4,79.39,2641.5233480372135
3492,"(5, 0, 1),(3, 1, 4, 12)",27.69,79.39,2635.4933942996067
185,"(1, 0, 3),(5, 1, 6, 12)",27.31,79.39,2629.886976255803
2103,"(3, 0, 6),(5, 1, 6, 12)",27.4,79.39,2641.5233480372135
3064,"(4, 1, 1),(3, 1, 6, 12)",28.37,79.4,2625.2951968652023
503,"(1, 1, 1),(5, 1, 7, 12)",28.52,79.4,2635.274518480626
1395,"(2, 1, 2),(3, 1, 6, 12)",28.55,79.41,2627.2205202555187
415,"(1, 0, 7),(3, 1, 4, 12)",27.79,79.41,2641.490263287726
3088,"(4, 1, 1),(5, 1, 7, 12)",28.4,79.43,2637.867206047542
2697,"(4, 0, 2),(3, 1, 4, 12)",27.19,79.43,2623.3412825888427
3692,"(5, 0, 4),(4, 1, 4, 12)",26.86,79.44,2624.212654180023
1451,"(2, 1, 3),(4, 1, 4, 12)",28.24,79.45,2621.2061832737163
4134,"(5, 1, 4),(4, 1, 4, 12)",28.2,79.46,2628.948660121304
1705,"(2, 1, 7),(4, 1, 4, 12)",28.3,79.49,2629.0692907834614
2938,"(4, 0, 6),(3, 1, 4, 12)",27.96,79.5,2646.801653007178
1149,"(2, 0, 5),(4, 1, 4, 12)",26.85,79.51,2619.6360442960886
3307,"(4, 1, 5),(3, 1, 7, 12)",28.55,79.51,2639.4929883399036
2709,"(4, 0, 2),(4, 1, 4, 12)",26.86,79.52,2617.675176103255
3815,"(5, 0, 6),(3, 1, 4, 12)",27.27,79.53,2635.672249196517
625,"(1, 1, 3),(5, 1, 7, 12)",28.57,79.53,2634.7589755436547
3252,"(4, 1, 4),(4, 1, 4, 12)",27.88,79.54,2621.8959746167693
1758,"(3, 0, 1),(3, 1, 4, 12)",27.82,79.55,2633.2052754318343
538,"(1, 1, 2),(3, 1, 5, 12)",28.81,79.55,2630.9126754639956
3366,"(4, 1, 6),(3, 1, 4, 12)",28.64,79.58,2637.405597936587
2077,"(3, 0, 6),(3, 1, 7, 12)",26.82,79.59,2630.2936656962834
